Продукты	Несъедобная часть %	Белки г	Жиры г	Усвояемые углеводы г	Минеральные вещества, мг						Витамины, мг						Энерго-ценность, ккал
					Натрий	Калий	Кальций	Магний	Фосфор	Железо	Каротин	А	В1	В2	РР	С	
**МУКА,КРУПЫ,МАКАРОНЫ,БОБОВЫЕ**																	
Мука пшеничная высшего сорта	0	10,3	1,1	68,9	3	122	18	16	86	1,2	0	0	0,17	0,04	1,2	0	334
Мука пшеничная 1-го сорта	0	10,6	1,3	67,6	4	176	24	44	115	2,1	Сл.	0	0,25	0,08	2,2	0	331
Мука пшеничная 2-го сорта	0	11,7	1,8	63,7	6	251	32	73	184	3,9	0,01	0	0,37	0,12	4,55	0	324
Крупа манная	0	10,3	1	67,7	3	130	20	18	85	1	0	0	0,14	0,04	1,2	0	328
Крупа гречневая ядрица	1	12,6	3,3	62,1	3	380	20	200	298	6,7	0,01	0	0,43	0,2	4,19	0	335
Крупа гречневая продел	2	9,5	2,3	65,9	3	320	20	150	253	4,9	0	0	0,42	0,17	3,76	0	329
Крупа рисовая	1	7	1	71,4	12	100	8	50	150	1	0	0	0,08	0,04	1,6	0	330
Крупа пшено	1	11,5	3,3	66,5	10	221	27	83	233	2,7	0,02	0	0,42	0,04	1,55	0	348
Крупа овсяная	1,5	11	6,1	49,7	35	362	64	116	349	3,9	Сл.	0	0,49	0,11	1,1	0	303
Крупа перловая	1	9,3	1,1	66,5	10	172	38	40	323	1,8	0	0	0,12	0,06	2	0	320
Крупа ячневая	1	10	1,3	66,3	15	205	80	50	343	1,8	0	0	0,27	0,08	2,74	0	324
Крупа пшеничная	1	11,5	1,3	63,1	---	---	---	---	261	4,4	0	0	0,31	0,1	1,4	0	316
Крупа кукурузная	0,5	8,3	1,2	71,6	4	147	20	36	109	2,7	0,2	0	0,13	0,07	1,1	0	337
Овсяные хлопья (геркулес)	0	11	6,2	50,1	20	330	52	129	328	1,8	0	0	0,45	0,1	1	0	305
Горох лущеный	0,5	23	1,6	50,8	27	731	89	88	226	7	0,01	0	0,9	0,18	2,37	0	314
Фасоль	0,5	21	2	46,6	40	1100	150	103	480	5,9	Сл.	0	0,5	0,18	2,1	0	292
Макаронные изделия высшего сорта	0	10,4	1,1	69,7	3	123	19	16	87	1,6	0	0	0,17	0,04	1,21	0	337
**ХЛЕБОБУЛОЧНЫЕ ИЗДЕЛИЯ**																	
Хлеб ржаной из сеяной муки	0	4,9	1	46	420	143	18	20	92	2,9	0	0	0,09	0,03	0,68	0	220
Хлеб столовый из ржано-пшеничной муки	0	6,9	1,2	42,4	394	201	27	46	123	3,5	0	0	0,19	0,09	1,69	0	214
Хлеб пшеничный из муки 1-го сорта	0	7,9	1	48,1	378	133	23	33	87	2	0	0	0,16	0,06	1,61	0	239
Хлеб пшеничный из муки высшего сорта	0	7,6	0,8	48,6	499	102	20	14	65	1,1	0	0	0,11	0,03	0,92	0	238
Батон нарезной	0	7,7	3	49,8	429	131	22	33	85	2	0	0	0,16	0,05	1,57	0	262
Булки городские	0	7,8	2,5	50,5	434	134	22	33	88	2	0	0	0,16	0,06	1,62	0	261
Сдоба обыкновенная	0	8	5,3	53,7	433	136	25	33	91	2	0	0	0,16	0,06	1,61	0	299
Сухари сливочные	0	8,5	10,8	66	315	109	22	14	80	1,9	0	0	0,12	0,05	1,07	0	398
**САХАР, КОНДИТЕРСКИЕ ИЗДЕЛИЯ**																	
Сахар-песок	0	0	0	99,8	1	3	2	Сл.	Сл.	0,3	0	0	0	0	0	0	379
Крахмал картофельный	0	0,1	0	79,6	6	15	40	Сл.	77	Сл.	0	0	0	0	0	0	327
Мед натуральный	0	0,8	0	80,3	10	36	14	3	18	0,8	---	0	0,01	0,03	0,2	2	314
Карамель с фруктовой начинкой	0	Сл.	0,1	92,1	Сл.	2	15	6	8	0,2	0	0	0	Сл.	Сл.	0	357
Карамель леденцовая	0	Сл.	0,1	95,7	1	2	14	6	6	0,2	0	0	0	0	0	0	370
Шоколад молочный	0	6,9	35,7	52,4	80	457	199	67	241	5	0,04	0,02	0,05	0,26	0,5	0	550
Конфеты помадные	0	2,2	4,6	83,6	29	94	95	11	66	0,3	0	0	Сл.	0,03	0,02	0	369
Конфеты молочные	0	2,7	4,3	82,3	25	85	73	11	58	0,4	0,01	0,01	0,01	0,1	0,07	0	364
Мармелад фруктовый	0	0,4	Сл.	76	---	---	11	---	12	0,4	0	0	Сл.	0,01	0,1	0	293
Зефир	0	0,8	Сл.	78,3	---	---	9	---	8	0,3	0	0	Сл.	Сл.	Сл.	0	304
